,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max_Temp,Wind_Speed
0,Georgetown,40,GY,1562630195,78,6.8,-58.16,82.4,4.7
1,Norman Wells,40,CA,1562630468,37,65.28,-126.83,66.2,9.17
2,Mataura,100,NZ,1562630892,75,-46.19,168.86,50.0,17.0
3,Ushuaia,0,AR,1562630381,80,-54.81,-68.31,41.0,4.7
4,Macheng,99,CN,1562630893,93,31.18,115.03,69.37,8.43
5,Lenger,0,KZ,1562630893,53,42.18,69.89,71.6,4.47
6,Qaanaaq,99,GL,1562630893,87,77.48,-69.36,39.45,2.84
7,Butaritari,60,KI,1562630710,72,3.07,172.79,83.97,9.55
8,Arraial do Cabo,0,BR,1562630701,87,-22.97,-42.02,57.2,2.24
9,Chifeng,100,CN,1562630894,52,42.27,118.96,72.18,5.79
10,Wiang Sa,20,TH,1562630894,100,8.64,99.37,75.2,3.36
11,Rikitea,96,PF,1562630698,84,-23.12,-134.97,73.1,5.48
12,Punta Arenas,90,CL,1562630703,93,-53.16,-70.91,41.0,6.93
13,San Andres,99,PH,1562630717,79,13.32,122.68,82.74,4.61
14,Archena,0,ES,1562630895,78,38.11,-1.3,73.99,4.7
15,Busselton,80,AU,1562630692,80,-33.64,115.35,51.01,14.16
16,Lensk,34,RU,1562630896,57,60.71,114.91,71.69,3.85
17,Castro,90,CL,1562630755,100,-42.48,-73.76,50.0,13.87
18,Polunochnoye,93,RU,1562630896,96,60.87,60.43,46.1,2.51
19,Adwa,65,ET,1562630897,95,14.16,38.9,61.14,3.4
20,Khatanga,87,RU,1562630707,75,71.98,102.47,50.78,5.79
21,Mahibadhoo,80,MV,1562630897,78,3.78,72.97,83.9,12.77
22,Port Alfred,43,ZA,1562630695,77,-33.59,26.89,64.0,7.0
23,Verkh-Usugli,41,RU,1562630897,73,52.7,115.17,64.67,2.21
24,Barrow,100,AR,1562630665,72,-38.31,-60.23,48.15,12.53
25,Saint-Pierre,0,FR,1562630898,76,48.95,4.24,55.4,8.05
26,Atuona,5,PF,1562630695,72,-9.8,-139.03,80.21,9.8
27,Kijang,75,KR,1562630898,68,35.24,129.21,71.6,9.17
28,Hobart,20,AU,1562630709,71,-42.88,147.33,55.99,10.29
29,Hermanus,10,ZA,1562630706,92,-34.42,19.24,54.0,20.13
30,Beshpagir,40,RU,1562630899,60,45.02,42.37,73.99,13.42
31,Saint-Philippe,1,CA,1562630739,36,45.36,-73.48,80.6,10.13
32,Ancud,90,CL,1562630698,100,-41.87,-73.83,50.0,13.87
33,Esperance,90,AU,1562630674,100,-33.86,121.89,50.0,8.05
34,Albany,1,US,1562630410,44,42.65,-73.75,82.4,5.82
35,Vardo,90,US,1562630900,88,39.62,-77.74,77.0,4.7
36,Iqaluit,75,CA,1562630792,62,63.75,-68.52,57.2,3.36
37,Davila,75,PH,1562630900,78,18.47,120.58,80.6,3.36
38,Angoche,44,MZ,1562630901,84,-16.23,39.91,65.1,4.07
39,Ponta do Sol,0,BR,1562630748,74,-20.63,-46.0,53.33,3.78
40,Borogontsy,96,RU,1562630741,76,62.67,131.17,63.86,10.07
